rank,channel_id,channel_name,frequency,percentage,first_seen_in
1,UCLvr4NZGWXzIh21VRoUC6Gg,Roy StoryTales,4,44.4,Thomas Edison: The IDIOT Who Changed The World
2,UC5jAU-dDCbwtY9_i6BuQFdA,CutEverything,3,33.3,The INSANE Truth About YouTube
3,UCY8SLLJjWpS4sx1dEqECaIw,Tyler Oliveira,3,33.3,The Family That Drugged America
4,UCvz84_Q0BbvZThy75mbd-Dg,Zack D. Films,2,22.2,The INSANE Truth About YouTube
5,UCfdNM3NAhaBOXCafH7krzrA,The Infographics Show,2,22.2,The INSANE Truth About YouTube
6,UCPNKv8Wt3DY2R2RmkkQpI7Q,Corporation Watch,2,22.2,The INSANE Truth About OpenAI
7,UCehBVAPy-bxmnbNARF-_tvA,More Perfect Union,2,22.2,The INSANE Truth About OpenAI
8,UClogVqKsal63mDqNLGJ-ClA,iCentury,2,22.2,The INSANE Truth About OpenAI
9,UCmFeOdJI3IXgTBDzqBLD8qg,Moon,2,22.2,The Scariest Business In The World
10,UCIXX8VqhFewJ4XJTjjdRnYw,Money Route,2,22.2,Diamonds: An Evil Scam
11,UCe3abvxujqWZK4VM7MJwobA,storyblocks2.0,2,22.2,Diamonds: An Evil Scam
12,UCbSJN5WMo-Hu2nIVi16s95A,Evil-god94,2,22.2,Diamonds: An Evil Scam
13,UCnpOlzpWAjg03o8sOd6K1xw,Coffee and Cults,2,22.2,The $47 Billion Cult
14,UCCHoZSsdaqP0q3T0LAXWdQA,Top 10 Things,1,11.1,The INSANE Truth About YouTube
15,UCauFw0dCT76i_Kz7XdFGjEg,Chilling Crime Stories,1,11.1,The INSANE Truth About YouTube
16,UCCuZ0r9pDMI8DwhtRV1fNhg,Danno Cal Drawings,1,11.1,The INSANE Truth About YouTube
17,UCJWKjrrUh2KL1d3zXQW79cQ,EXPLORE WITH US,1,11.1,The INSANE Truth About YouTube
18,UC-g_O9HWb5B0rVDG1hLd5Hw,EYstreem,1,11.1,The INSANE Truth About YouTube
19,UCZLFu8bHbwtnIgWLg5UtINw,vidIQ,1,11.1,The INSANE Truth About YouTube
20,UC9zkhz_mSljSGl6-rmvSo9Q,ScienceNine,1,11.1,The INSANE Truth About YouTube
21,UCdl3ece6ZfQwsiLbMnh2bCw,AstroKobi,1,11.1,The INSANE Truth About YouTube
22,UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,1,11.1,The INSANE Truth About YouTube
23,UCJINK23Gg1xaqFa7yg90bLw,Podcasts Recapped,1,11.1,The INSANE Truth About YouTube
24,UCL5RSUdzpCPdZxIFw6ryaow,Ai Pulse ,1,11.1,The INSANE Truth About OpenAI
25,UC7qxuJnsADaskQrIBvtBdrA,MetaverseMentors,1,11.1,The INSANE Truth About OpenAI
26,UCRmGm1uCb9O-PyfPblb6wnA,AI Conversations,1,11.1,The INSANE Truth About OpenAI
27,UCxEXSuI8mtYhgE3HInhuhog,ControlAI,1,11.1,The INSANE Truth About OpenAI
28,UC5LlHFGkWp3ziRY_bdJDmVg,Ohh Niten,1,11.1,The INSANE Truth About OpenAI
29,UC91S6O8y8CtuB7YlP7I1SZA,Business Saga,1,11.1,The INSANE Truth About OpenAI
30,UCftG4eO4XAQ5kOb1J10fYxQ,Rumen Ahmed,1,11.1,The INSANE Truth About OpenAI
31,UCEENWVBdvDy-QWfuQoXC9HQ,Species | Documenting AGI,1,11.1,The INSANE Truth About OpenAI
32,UCupvZG-5ko_eiXAupbDfxWw,CNN,1,11.1,The INSANE Truth About OpenAI
33,UCvCYE-3TrY1GAe2l8K08N-w,Digital Engine,1,11.1,The INSANE Truth About OpenAI
34,UCV2rpDtv_YR4ytALNBvUOVQ,Alternate Realities,1,11.1,The INSANE Truth About OpenAI
35,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,1,11.1,The INSANE Truth About OpenAI
36,UCBRYeSGcB8VoemMQ9IW978w,shogoz,1,11.1,The INSANE Truth About OpenAI
37,UCJRRleWQEEZnz3utzqEmVbA,Docuseries,1,11.1,Thomas Edison: The IDIOT Who Changed The World
38,UCBQm3YIViD1VTetKp880iEQ,MogulsMedia,1,11.1,Thomas Edison: The IDIOT Who Changed The World
39,UClk81dSb4CPLSk6P1jegx6A,ETERNUM,1,11.1,Thomas Edison: The IDIOT Who Changed The World
40,UCiDiAIon5iWqMkODTL6-h9w,The Last Story Keeper,1,11.1,Thomas Edison: The IDIOT Who Changed The World
41,UCD_GtQX-WuV5C-GXmIiLAyw,AI MoralBurrow,1,11.1,Thomas Edison: The IDIOT Who Changed The World
42,UCUxzMP205gnSiP0hPW-PyzQ,Toufikopedia,1,11.1,Thomas Edison: The IDIOT Who Changed The World
43,UCUahTFpKE6StkfKxTdwSMQA,"The forgotten, the forbidden, the buried...",1,11.1,Thomas Edison: The IDIOT Who Changed The World
44,UCRWnIRZjQrgpSqE5vykIklA,True Soul Stories,1,11.1,Thomas Edison: The IDIOT Who Changed The World
45,UC9yjvpVG3DARuaVoWYVh0YQ,Dazzling,1,11.1,Thomas Edison: The IDIOT Who Changed The World
46,UCaxCvHbt9TiViFSVHGnQqIQ,Nerds and Mics,1,11.1,Thomas Edison: The IDIOT Who Changed The World
47,UC8LQKvQviSRXGuz5wrXdmmw,The Curious Cobra,1,11.1,Thomas Edison: The IDIOT Who Changed The World
48,UCRK3R8P41-CvLvO0UvKohog,Ryan Duke,1,11.1,Thomas Edison: The IDIOT Who Changed The World
49,UCM3J2MkF0PMisZwOJAg8yFQ,Dave Stratton,1,11.1,Thomas Edison: The IDIOT Who Changed The World
