channel_id,channel_name,frequency,frequency_score,appearances,subscribers,video_count,country,first_seen_in
UCLvr4NZGWXzIh21VRoUC6Gg,Roy StoryTales,4,0.4444444444444444,4/9,68,53,US,Thomas Edison: The IDIOT Who Changed The World
UC5jAU-dDCbwtY9_i6BuQFdA,CutEverything,3,0.3333333333333333,3/9,87,511,VN,The INSANE Truth About YouTube
UCY8SLLJjWpS4sx1dEqECaIw,Tyler Oliveira,3,0.3333333333333333,3/9,8290000,576,US,The Family That Drugged America
UCvz84_Q0BbvZThy75mbd-Dg,Zack D. Films,2,0.2222222222222222,2/9,24100000,2463,unknown,The INSANE Truth About YouTube
UCfdNM3NAhaBOXCafH7krzrA,The Infographics Show,2,0.2222222222222222,2/9,15300000,5841,US,The INSANE Truth About YouTube
UCPNKv8Wt3DY2R2RmkkQpI7Q,Corporation Watch,2,0.2222222222222222,2/9,84,81,US,The INSANE Truth About OpenAI
UCehBVAPy-bxmnbNARF-_tvA,More Perfect Union,2,0.2222222222222222,2/9,2240000,1534,US,The INSANE Truth About OpenAI
UClogVqKsal63mDqNLGJ-ClA,iCentury,2,0.2222222222222222,2/9,4710,1377,IN,The INSANE Truth About OpenAI
UCmFeOdJI3IXgTBDzqBLD8qg,Moon,2,0.2222222222222222,2/9,1570000,323,unknown,The Scariest Business In The World
UCIXX8VqhFewJ4XJTjjdRnYw,Money Route,2,0.2222222222222222,2/9,3150,405,unknown,Diamonds: An Evil Scam
UCe3abvxujqWZK4VM7MJwobA,storyblocks2.0,2,0.2222222222222222,2/9,345,544,IN,Diamonds: An Evil Scam
UCbSJN5WMo-Hu2nIVi16s95A,Evil-god94,2,0.2222222222222222,2/9,46100,105,unknown,Diamonds: An Evil Scam
UCnpOlzpWAjg03o8sOd6K1xw,Coffee and Cults,2,0.2222222222222222,2/9,314000,86,GB,The $47 Billion Cult
