channel_id,name,subscribers,video_count,country,frequency,description_preview
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,43800000,246082,unknown,2,TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independen...
UCZDikYGDPdpN_pLgi_RzgXg,Daniel Pink,79600,280,US,1,
UCbV60AGIHKz2xIGvbk0LLvg,Jay Shetty,4840000,1194,US,1,Jay Shetty | Global Best Selling Author | Award Winning Podcast Host of ON Purpose | Purpose Driven Entrepeneur
UCkZjTZNvuxq1CYMS3cwZa1Q,Huberman Lab Clips,1310000,370,US,1,"Welcome to the official Huberman Lab Clips YouTube channel. Here you'll find clips from the Huberman Lab podcast.
"
UCGT_BYcMHygJYqYWZjGx68A,GROWTH™,955000,1033,unknown,1,👇 Free Viral Video Guide
UCrX8UBoue01aj4s0aHmgeQg,Dandapani,501000,176,US,1,"Dandapani is a Hindu priest, entrepreneur, author, and global speaker. He works with leading entrepreneurs and athletes, helping them understand and leverage their minds to become the best versions of..."
UCkcwpU1zi5LhOEgCePEJj4Q,Faith Qutoes ,254,26,US,1,"Welcome to Faith Qutoes – your daily source of hope, strength, and inspiration through the timeless words of Jesus Christ. ✝️

Here you’ll find short Christian motivational quotes, Bible verses, and u..."
UCER2LBsm4hB_Kxte63RoftQ,Joyce Meyer Ministries,1800000,5295,US,1,"Joyce Meyer Ministries is called to share the Gospel and extend the love of Christ, and is built on a foundation of faith, integrity and dedicated supporters who share this call.
 
Through Joyce’s tea..."
UCc11676iKpKrJMYqNYHqNig,Brian Tracy,1850000,1388,unknown,1,"Brian Tracy is the most listened to audio author on personal and business success in the world today. His fast-moving talks and seminars on leadership, sales, managerial effectiveness and business str..."
UC-qsP49Ai2GymJgyKX38l1w,Robert Greene ,2050000,763,US,1,"Official YouTube channel of author Robert Greene 

#1 New York Times bestselling author
The 48 Laws of Power | The Art of Seduction | The 33 Strategies of War | The 50th Law | Mastery | The Laws Of Hu..."
