Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Level,Timestamp,Similarity_Score,Seed_Keywords,Discovered_Keywords
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Analyst,UCsD-FQbDbhwEUuX-KeJwrZQ,https://www.youtube.com/@startupanalyst,131000,1,2025-10-25T21:22:29.406718,0.843,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","brand failures, celebrity brands, market analysis, business downfall, corporate scandals, entrepreneurial stories, reality show impact, telecom history, aviation disasters, retail trends"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Startup Stories,UCnyQy0wD_LCZTlyFHnKIS7Q,https://www.youtube.com/@startupstoriestv,550000,1,2025-10-25T21:13:38.015740,0.812,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","entrepreneur stories, motivational content, lifestyle entrepreneurship, wellness trends, business success, corporate journeys, founder insights, inspirational tales, strategic decisions, emerging trends"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Business Stories,UCkEeNJue8P7moYZm0Ptrn5A,https://www.youtube.com/@businessstoriesofficial,302000,1,2025-10-25T21:15:31.296746,0.799,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","entrepreneur stories, brand origins, corporate success, founder journeys, business transformations, innovative entrepreneurs, historical business, personal struggles, industry pioneers, legacy building"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Dazed but Not Confuzed,UCWw5ehfE0cEASfVLEx-iudQ,https://www.youtube.com/@dbnc,10700,1,2025-10-25T21:30:12.358906,0.758,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","cult analysis, scientology exploration, trafficking documentary, live q&a, legal battles, trauma healing, celebrity scrutiny, underage exploitation, esoteric discussions, controversial organizations"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Starter Story,UChhw6DlKKTQ9mYSpTfXUYqA,https://www.youtube.com/@starterstory,691000,1,2025-10-25T21:13:07.629626,0.729,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","entrepreneur stories, app development, micro-saas projects, business validation, revenue growth, coding journey, startup challenges, business cloning, self-taught skills, design agency success"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,1,2025-10-25T21:09:35.323696,0.709,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique","business case study, rise and fall, success story, brand journey, market analysis, untold story, entrepreneurial journey, product evolution, consumer rejection, industry comparison"
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,The India Opportunity with Shrishti Sahu,UCasyz2FJZxtaxlYdHRgXKww,https://www.youtube.com/@theindiaopportunity,35300,"entrepreneurship analysis, startup ecosystem, market potential, economic insights, investment strategies, stock market guidance, generational impact, infrastructure history, financial education, economic growth",1,2025-10-25T21:27:05.479710,"business analysis, corporate scandals, historical figures, controversial topics, entrepreneurship stories, criminal enterprises, technology insights, wealth creation, cult phenomena, media critique",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Parker Burton,UCEeH57P89hPQ1Sp2TavfICA,https://www.youtube.com/@imparkerburton,1130000,1,2025-10-25T21:36:12.189902,0.943,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons","tech unboxing, smartphone review, ai glasses, gadget comparison, handheld gaming, mobile technology, product showcase, first look, device testing, consumer electronics"
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Trakin Tech,UCEPL07qzVsOcHd3sMUws65g,https://www.youtube.com/@trakintech,15400000,1,2025-10-25T21:31:32.331985,0.91,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons","smartphone launch, gadget unboxing, tech news, software features, first look, consumer electronics, mobile technology, operating system review, device comparison, upcoming devices"
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Beebom,UCvpfclapgcuJo0M_x65pfRw,https://www.youtube.com/@beebomco,3470000,1,2025-10-25T21:33:23.026041,0.906,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons","gadget review, smartphone comparison, android update, kitchen gadgets, gaming hardware, tech analysis, product leaks, feature comparison, consumer electronics, device testing"
