Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,PM Diego Granados,UCzpDM7pbVBxV1WwjYux0Ixw,https://www.youtube.com/@pmdiegogranados,45000,"job search advice, product management, interview strategies, career development, recruitment insights, insider tips, job application guidance, product strategy, career red flags, newcomer advice",1,2025-10-26T23:29:49.953235,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,Dr. Nancy Li - Director of Product,UCIXcpwAsd6uO6PQ7VaMbXpg,https://www.youtube.com/@drnancyli,35600,"product management, career development, interview preparation, salary insights, product design, ai integration, job transition stories, resume templates, workshop training, industry trends",1,2025-10-26T23:30:57.504903,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.8
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,PM School by NextLeap,UCjOeIGWiIhPdKDrDRrVnvRA,https://www.youtube.com/@pmschoolx,33700,"product management, mindset mastery, product development, b2b strategies, creator economy, real-money gaming, interview preparation, product market fit, transition strategies, analytics training",1,2025-10-26T23:31:08.084229,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,Dan Olsen,UChx1ibI5TI7bBva0Z21azrw,https://www.youtube.com/@danolsen,25200,"product management, ai transformation, coding learnathon, hackathon highlights, product coaching, career advice, product development, product testing, leadership training, community meetups",1,2025-10-26T23:32:14.543575,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,Dianna Yau,UCwAywyPrQlf5XvqzE8Y6GWg,https://www.youtube.com/@diannayau,25200,"product management interview, mock interview, behavioral interview, product sense, strategic thinking, execution metrics, coaching session, creative solutions, product strategy, take home assignment",1,2025-10-26T23:32:24.782823,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.8
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,First Round Capital,UC_oji6l_-xwhmZqCxRGuAXw,https://www.youtube.com/@firstroundcapital,22000,"startup growth, founder insights, pivot strategy, product development, feedback techniques, ai applications, contract negotiation, business metrics, entrepreneurial lessons, market fit",1,2025-10-26T23:32:35.330115,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,Productized,UCc707M4Ey0qECi56KPqgJjA,https://www.youtube.com/@productizedconference,17300,"innovation conference, product management, creativity in technology, leadership strategies, digital transformation, collaborative design, product development, emerging technologies, team dynamics, growth strategies",1,2025-10-26T23:33:06.174780,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,Sugat Nayak,UC16Elh84QmIxvdieuaKn7ug,https://www.youtube.com/@sugatnayak,12200,"ai interview preparation, product management insights, career transition guide, salary analysis, interview strategies, tech industry trends, job market analysis, personal success stories, skill development, ai tools in hiring",1,2025-10-26T23:33:55.718882,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
Lenny's Podcast,UC6t1O76G0jYXOAoYCm153dA,IGotAnOffer: Product management,UCFJy5E_3XknWv42cvedoALw,https://www.youtube.com/@igotanofferpm,12100,"product management tips, interview preparation, resume advice, behavioral questions, product sense, mock interviews, career coaching, faang insights, design challenges, interview strategies",1,2025-10-26T23:34:06.053849,"product management interviews, tech leadership podcast, career growth insights, product strategy, growth frameworks, pm interviews, tech entrepreneur stories, product development, engineering leadership, startup insights",0.7
The Diary of a CEO,UCGq-a57w-aPwyi3pW7XLiHw,SONU SHARMA,UCwrzhaGy4oAHu8clPCVol3g,https://www.youtube.com/@sonusharmamotivation,12700000,"motivational content, inspirational stories, corporate training, smartphone addiction, success principles, podcast discussions, personal development, entrepreneurship insights, social media impact, life lessons",1,2025-10-26T23:35:16.206942,"personal development podcast, success interviews, entrepreneur conversations, mindset coaching, leadership insights, health optimization, expert interviews, self-improvement, performance psychology, business wisdom",0.7
The Diary of a CEO,UCGq-a57w-aPwyi3pW7XLiHw,Jay Shetty Podcast,UCbk_QsfaFZG6PdQeCvaYXJQ,https://www.youtube.com/@jayshettypodcast.,4880000,"self-improvement, mental wellness, positive thinking, emotional resilience, personal growth, self-encouragement, inner dialogue, self-forgiveness, overcoming negativity, mindset transformation",1,2025-10-26T23:36:00.547006,"personal development podcast, success interviews, entrepreneur conversations, mindset coaching, leadership insights, health optimization, expert interviews, self-improvement, performance psychology, business wisdom",0.8
The Diary of a CEO,UCGq-a57w-aPwyi3pW7XLiHw,Better Ideas,UCtUId5WFnN82GdDy7DgaQ7w,https://www.youtube.com/@betterideas,3010000,"motivation strategies, personal development, self-improvement, mental health, productivity hacks, life advice, mindset shifts, habits analysis, overcoming laziness, emotional resilience",1,2025-10-26T23:36:41.711995,"personal development podcast, success interviews, entrepreneur conversations, mindset coaching, leadership insights, health optimization, expert interviews, self-improvement, performance psychology, business wisdom",0.7
