Tier,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Reason,Discovered_Channel_URL
1,Vox,The Economist,3650000,0.61557007,0.481,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism and In-depth Analysis', and Candidate's inferred niche is 'In-depth Analysis of Current Events and Societal Issues'. Both channels aim to provide comprehensive explanations and insights, making them direct competitors.",https://www.youtube.com/@theeconomist
1,Vox,Johnny Harris,7130000,0.64231867,0.538,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism' and Candidate's inferred niche is 'In-depth Analysis of Current Events and Societal Issues'. Both channels aim to provide comprehensive explanations and insights, making them direct competitors.",https://www.youtube.com/@johnnyharris
1,Vox,Then & Now,534000,0.5859796,0.517,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism' and Candidate's inferred niche is 'In-depth Analysis of Societal Issues'. Both channels aim to provide comprehensive explanations and foster understanding of complex topics, making them direct competitors.",https://www.youtube.com/@thennow
1,Vox,Economics Explained,2810000,0.5567162,0.502,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism' and Candidate's inferred niche is 'Economic Analysis'. Both channels aim to provide in-depth explanations and analyses of complex issues, making them direct competitors.",https://www.youtube.com/@economicsexplained
1,Vox,Ed Post,16500,0.5327461,0.521,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism' focusing on societal issues and current events, while Candidate's inferred niche is 'Societal Critique' with a focus on education and social issues. Both channels aim to provide informed perspectives and foster understanding, making them direct competitors.",https://www.youtube.com/@edpostvideo
1,Vox,Hot Mess,99000,0.5105556,0.485,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism' focusing on societal issues and current events, while Candidate's inferred niche is 'Environmental Science and Climate Change Analysis'. Both channels aim to provide in-depth explanations and foster understanding of complex issues, making them direct competitors.",https://www.youtube.com/@hotmesspbs
1,Vox,Mr. Beat,1300000,0.5006014,0.441,"Niche & Intent Match. Seed's niche is 'Explanatory Journalism and In-depth Analysis', and Candidate's inferred niche is 'Political Commentary and Historical Analysis'. Both channels aim to provide comprehensive explanations and insights into complex issues, making them direct competitors.",https://www.youtube.com/@iammrbeat
2,Vox,1Dime,85600,0.56355506,0.479,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Political and Cultural Analysis'. Both channels aim to 'explain' complex issues, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@1dimee
2,Vox,Cole Hastings,806000,0.564639,0.585,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Societal Critique'. Both channels aim to 'explain' complex issues, and their formats are similar in being analytical, making them niche competitors.",https://www.youtube.com/@colehastings
2,Vox,Vusi Thembekwayo,1130000,0.5832883,0.496,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Business and Leadership Commentary'. Both channels aim to 'explain' and provide insights, but their core focuses differ, making them adjacent rather than identical.",https://www.youtube.com/@vthembekwayo
2,Vox,The Rest Is Politics US,242000,0.57779187,0.513,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Political Commentary'. Both channels aim to provide informed perspectives and analysis, and they share a similar format of in-depth reporting, making them niche competitors.",https://www.youtube.com/@restpoliticsus
2,Vox,Garys Economics,1500000,0.5613495,0.473,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Political and Economic Commentary'. Both channels aim to 'explain' complex issues, and their formats are similar, making them niche competitors.",https://www.youtube.com/@garyseconomics
2,Vox,Jack Chapple,680000,0.555384,0.525,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Economic and Political Commentary'. Both channels aim to 'explain' complex issues, and their formats are similar in being analytical, but the core niches are not identical.",https://www.youtube.com/@jackchappleshow
2,Vox,The Functional Melancholic,122000,0.6455256,0.641,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Societal Critique'. Both channels aim to provide in-depth analysis and understanding, and their formats are similar in style, making them niche competitors.",https://www.youtube.com/@functionalmelancholic
2,Vox,Democracy At Work,559000,0.67853904,0.531,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Political and Economic Commentary'. Both channels aim to 'explain' complex issues, and their formats are similar, but the core niches are adjacent rather than identical.",https://www.youtube.com/@democracyatwrk
2,Vox,Institute of Development Studies,10200,0.52109945,0.472,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Development Studies and Social Policy Analysis'. Both aim to 'explain' complex issues, and their formats are similar in being analytical, but they focus on different aspects of societal issues.",https://www.youtube.com/@ids_uk
2,Vox,Common Knowledge,10300,0.52047944,0.443,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Informative Content'. Both channels aim to 'explain' and use a similar documentary-style format, but their core niches are adjacent rather than identical.",https://www.youtube.com/@commonknowledge42
