Seed_Channel_Name,Seed_Channel_ID,Seed_Keywords,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Similarity_Score
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,https://www.youtube.com/@dhruvrathee,30100000,"social commentary, cultural analysis, personal stories, societal issues, entrepreneurship journey, psychological exploration, consumer behavior, environmental impact, youth challenges, political discourse",1,2025-10-25T18:24:00.378562,0.68
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",FactTechz,UCGdPm5Aq081vVD7ih9jZf6Q,https://www.youtube.com/@facttechz,20500000,"internet outages, economic analysis, market trends, air quality issues, poverty awareness, financial comparisons, consumer behavior, regional disparities, identity protection, online reputation",1,2025-10-25T18:24:21.079308,0.613
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,https://www.youtube.com/@aljazeeraenglish,16800000,"political analysis, election coverage, immigration issues, environmental impact, international relations, economic policies, social justice, cultural documentaries, geopolitical tensions, human rights",1,2025-10-25T18:24:30.985814,0.65
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Inside Edition,UC9k-yiEpRHMNVOnOi_aQK8w,https://www.youtube.com/@insideedition,13700000,"human interest stories, crime news, rescue operations, celebrity news, health emergencies, political scandals, sports controversies, personal revelations, tragic events, cultural commentary",1,2025-10-25T18:24:40.826660,0.66
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Drishti IAS,UCzLqOSZPtUKrmSEnlH4LAvw,https://www.youtube.com/@drishtiiasvideos,12600000,"global affairs, environmental issues, historical analysis, current affairs, human-environment interactions, pollution crisis, international relations, civil services preparation, newspaper analysis, nationalism trends",1,2025-10-25T18:24:54.341913,0.635
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",CA Rahul Malodia,UCPgfM-dk3XAb4T3DtT6Nwsw,https://www.youtube.com/@rahulmalodiaofficial,6830000,"gig economy, corporate crisis, auto industry, online shopping, tech competition, business analysis, wealth comparison, entrepreneurial journeys, financial insights, case studies",1,2025-10-25T18:25:49.127707,0.793
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Icycol,UCljz_M6NK7ASp5u0t2ImfiQ,https://www.youtube.com/@icycol,6130000,"name analysis, superhero comparison, meme commentary, pet name trends, historical commentary, childhood insights, social observations, cultural critiques, humor exploration, side-by-side comparisons",1,2025-10-25T18:26:09.744910,0.612
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Live Hindi,UCHs3bWyXIw_6J0ORvg97b2w,https://www.youtube.com/@live-hindi,4220000,"business case study, rise and fall, success story, brand journey, market analysis, untold story, consumer behavior, entrepreneurial journey, industry comparison, product evolution",1,2025-10-25T18:26:42.529733,0.741
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",hxsain,UCZfTWLrTkaoZoSx5fkrAPJA,https://www.youtube.com/@hxsain,4140000,"social commentary, cultural analysis, hairstyle tutorial, q&a session, historical mistakes, global statistics, personal anecdotes, societal observations, country comparisons, human interest stories",1,2025-10-25T18:26:52.579950,0.651
MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,"business stories, corporate analysis, historical figures, criminal enterprise, economic commentary, media analysis, entrepreneurialism, scandal exposé, company history, documentary style",Shivanshu Agrawal,UCQky96IjrfzJcSUiCogID6w,https://www.youtube.com/@shivanshu.agrawal,1750000,"fitness analysis, technology secrets, brand rivalry, corporate journey, celebrity wealth, cafe success, sports technology, political events, historical narratives, biography insights",1,2025-10-25T18:27:59.380155,0.725
