Channel_ID,Channel_Name,Date_Added,Processing_Status
UCmFeOdJI3IXgTBDzqBLD8qg,Moon,2025-11-06T19:16:28.668239,seed
UCpsroJwsVKQvRH3ZqdvRetQ,One Minute Economics,2025-11-06T19:16:28.749778,filtered_country_RO
UCwukDJWDHn4JW2aHps1ZCvA,TODAY with Jenna & Friends,2025-11-06T19:16:28.749778,filtered_max_videos
UC14lZQFjJI7yor70AY-k_SQ,CEDRA Split,2025-11-06T19:16:28.749778,filtered_subs
UCqdwM6M5SPmuX779w-6iQTA,Joma Clips,2025-11-06T19:16:28.749778,skipped_few_videos
UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-11-06T19:16:28.749778,filtered_max_videos
UC1KZthNKVq8I8feFK8Z1eIQ,365 Financial Analyst,2025-11-06T19:16:28.749778,cached_for_llm
UC_N9Q9qxGIDDkWKEbABjt8Q,Mr. Cellini,2025-11-06T19:16:28.749778,filtered_subs
UCXIJgqnII2ZOINSWNOGFThA,Fox News,2025-11-06T19:16:28.749778,filtered_max_videos
UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack,2025-11-06T19:16:28.749778,cached_for_llm
UCFKqzFrJ0wWFJ8vYQqnAckw,PolitiCue,2025-11-06T19:16:28.749778,filtered_subs
UCCXoCcu9Rp7NPbTzIvogpZg,Fox Business,2025-11-06T19:16:28.749778,filtered_max_videos
UCsD-Qms-AkXDrsU962OicLw,The New Yorker,2025-11-06T19:16:28.749778,cached_for_llm
UC_IPQ16nPwPtY6L7GkklRmQ,The Ethical Compass,2025-11-06T19:16:28.749778,filtered_subs
UCjK0iABKCJd6Ue5txwTryRA,The Great White Right,2025-11-06T19:16:28.749778,filtered_subs
UCfYW5GXBXueSO5p9bxD45qg,BBC Global,2025-11-06T19:16:28.749778,discovered
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,2025-11-06T19:16:28.749778,filtered_max_videos
UCz4XY6NPKaMUWNWMONTw3NQ,Investing Made Simple,2025-11-06T19:16:28.749778,cached_for_llm
UCLXo7UDZvByw2ixzpQCufnA,Vox,2025-11-06T19:16:28.749778,discovered
UC_vt34wimdCzdkrzVejwX9g,Geo News,2025-11-06T19:16:28.749778,filtered_max_videos
UCywtvR0JMHHAeHfK8RBx0dw,HBS Online,2025-11-06T19:16:28.749778,discovered
UCZm2IEBVHdtaAhSyYhWu9mg,Institute for Justice,2025-11-06T19:16:28.749778,discovered
UCWIh8oCINUfP6JSDurR4Kcw,How It Happened,2025-11-06T19:16:28.749778,discovered
UCJCzjXh_zspaUY3z_9o_EpA,Celebrity Blast,2025-11-06T19:16:28.749778,skipped_few_videos
UCZOls9Gfe83hlK_IKcNyjcQ,Ramón Suárez Vázquez,2025-11-06T19:16:28.749778,filtered_subs
UC2HT0yH-sBcgCd6yfT96vDQ,Rolling ,2025-11-06T19:16:28.749778,filtered_subs
UCjgCdcb-z8MNZInajCu84sg,Scandalous Media ☕️,2025-11-06T19:16:28.749778,cached_for_llm
UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,2025-11-06T19:16:28.749778,filtered_max_videos
UCctgkud479NSohpZDtlMYgA,OverEasy,2025-11-06T19:16:28.749778,cached_for_llm
UCrza7cCx3GSYeXciTqt2IXg,Top 10 You Should Know ,2025-11-06T19:16:28.749778,filtered_subs
UCBHuSuyskRmVJIaB6c1PlWQ,The Learner,2025-11-06T19:16:28.749778,filtered_subs
UCnoYaHN1zDCD-vcNXdwF-8g,Deep Dive,2025-11-06T19:16:28.749778,discovered
UC4Z6QzEeJCCz8BF8ghtvV6w,World Knowledge Forum,2025-11-06T19:16:28.749778,cached_for_llm
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,2025-11-06T19:16:28.749778,filtered_country_IN
UCvtmENWtQl3b1FDxHtIQ4vw,Er Rajnish Pandey,2025-11-06T19:16:28.749778,filtered_subs
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2025-11-06T19:16:28.749778,filtered_max_videos
UCzLqOSZPtUKrmSEnlH4LAvw,Drishti IAS,2025-11-06T19:16:28.749778,filtered_max_videos
UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,2025-11-06T19:16:28.749778,filtered_max_videos
UCwFPjyEhud_uNmVe60o6MbQ,English Refine,2025-11-06T19:16:28.749778,filtered_subs
UCoo_e0xoqx6AZ9Tb6aRYf0A,Ak Seeker,2025-11-06T19:16:28.749778,filtered_subs
UC0QkAdm98jOI_ZPsOc92_yg,State of Kait,2025-11-06T19:16:28.749778,discovered
UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology,2025-11-06T19:16:28.749778,discovered
UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,2025-11-06T19:16:28.749778,discovered
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,2025-11-06T19:16:28.749778,filtered_max_videos
UCpm1YB40kmaYAv4Np4onIKw,El Podcast ,2025-11-06T19:16:28.749778,filtered_subs
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,2025-11-06T19:16:28.749778,discovered
UC6-EzrizUgi8yl2r5AeXoBA,Stories of the States,2025-11-06T19:16:28.749778,filtered_subs
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,2025-11-06T19:16:28.749778,filtered_max_videos
UCsN32BtMd0IoByjJRNF12cw,60 Minutes,2025-11-06T19:16:28.749778,filtered_max_videos
UCMcw3a0iEaW-rYxvSu9JLgA,AI . Robot,2025-11-06T19:16:28.749778,filtered_country_KR
