name,subscribers_M,video_count
Vlad and Niki,146.0,959
Alan's Universe,97.3,1482
MrBeast 2,53.4,167
Dushyant kukreja,49.2,1618
BRIGHT SIDE,44.7,10623
TheEllenShow,38.2,18427
Dhruv Rathee,30.2,706
Sandeep Maheshwari,28.5,652
TED,26.8,5338
Vsauce,24.5,617
TED-Ed,22.1,2310
Mrwhosetheboss,21.8,1852
Dr. Vivek Bindra: Motivational Speaker,21.2,2664
Kuldeep Singhania Shorts,15.4,1544
The Diary Of A CEO,13.2,547
Raj Shamani,13.0,2080
Rico Animations,12.8,756
SONU SHARMA,12.7,511
Sambucha,10.8,3510
Ranveer Allahbadia,10.7,5435
camman18,10.4,1647
Jenny Hoyos,9.9,437
Manoj Saru,9.26,421
Be Inspired,9.23,381
Him-eesh Madaan,8.25,1259
growingannanas,7.81,1164
Manoj Dey,7.34,1810
Gohar Khan,7.16,697
Mark Tilbury,7.09,286
Sideserf Cake Studio,6.92,881
Vaibhav Kadnar,6.89,1046
CA Rahul Malodia,6.83,1231
warikoo,6.66,2081
Abhi and Niyu,6.62,1017
The Wall Street Journal,6.45,28357
Iman Gadzhi,5.78,457
Labour Law Advisor,5.38,1906
Boss Wallah (Telugu),5.37,2846
Daizy Aizy Vlogs,5.05,626
Spreading Gyan,4.99,364
Jay Shetty Podcast,4.89,1679
Lewis Howes,4.83,3248
Motivation QuoteShala,4.76,1232
Learn with Jaspal,4.76,455
Motivation2Study,4.6,816
Karl Niilo,4.57,783
Evan Carmichael,4.37,8210
Motiversity,4.03,1102
Kevin Stratvert,3.96,1114
Chris Williamson,3.93,3805
Boss Wallah (Tamil),3.9,2923
Always Arya,3.81,1163
Improvement Pill,3.74,346
Alex Hormozi,3.74,4056
Sameeksha Sud,3.71,1235
Video Advice,3.7,363
Finance With Sharan,3.61,747
Ben Lionel Scott,3.39,565
Think Media,3.36,2806
Professor Guru Brar,3.02,369
Thomas Frank,3.01,281
Art Cart,2.93,2980
The Futur,2.73,2181
Thinketh ,2.63,356
Caleb Hammer,2.59,3129
DAY TRADER తెలుగు,2.56,2701
AuthenTech - Ben Schmanke,2.49,1156
Joma Tech,2.35,89
vidIQ,2.28,2299
Dr. Tracey Marks,2.21,1182
Tanya Khanijow,2.14,525
Dan Martell,2.07,2605
Jak Piggott,2.07,1691
Simon Squibb,2.05,1348
Michael Sealey,2.03,229
Ishan Sharma,2.01,1756
Codie Sanchez,1.94,663
Nischa,1.91,190
Justin Brown - Primal Video,1.85,783
जोश Talks Shorts,1.85,1744
FundaTube,1.83,196
Shivanshu Agrawal,1.76,317
Yash Pratap Singh,1.76,346
Rahul Malodia Podcast,1.73,986
Nikhil Kamath,1.72,1021
Escaping Ordinary (B.C Marx) ,1.71,16
Sandeep MH Shorts,1.7,970
Learn Online Video,1.63,176
MasterClass,1.6,708
Harvard Business Review,1.44,619
fishmeister419,1.42,200
Chaseroony,1.26,1120
INDmoney,1.25,1181
BiggerPockets,1.25,3944
Myron Golden,1.23,791
Monacoluxurylifestyle,1.21,878
Art with Flo,1.19,684
Your Rich BFF,1.18,1398
We Make Creators,1.18,1470
Dan Koe,1.17,226
Pritika Loonia,1.15,581
Vusi Thembekwayo,1.13,1112
LITTLE BIT BETTER,1.11,120
Drk Talks,1.09,247
Howfinity,1.06,1630
Desi Traveling YT,1.06,1006
Sanjay Kathuria ,1.06,1071
I Will Teach You To Be Rich,1.0,1391
Varun Mayya,1.0,1036
watchwellcast,0.986,147
Dr Amiett Kumar,0.892,1824
ClassXplained,0.865,179
thebeekid,0.857,132
Tharun Speaks,0.856,178
GaryVee Video Experience,0.826,3705
Jillz Guerin,0.818,276
Learn With Shopify,0.817,1273
Cole Hastings,0.805,545
Natalie Dawson,0.803,1255
Amrev,0.802,577
Brian Scott,0.783,3214
Tube Sensei,0.773,77
Harvard Business School,0.753,1612
Wint Wealth,0.716,189
Coding with Lewis,0.713,721
Desi Motivation,0.71,469
Gabe Bult,0.693,469
Quek Shio,0.692,80
Dr. Tanu Jain,0.648,228
Created by Ella,0.633,301
Adete Dahiya,0.603,332
Geek Street,0.588,1457
MONEY_TALKS,0.573,408
Midas / Tomi,0.536,318
Life of Tanya Marie,0.532,793
Paddy Galloway,0.527,33
Broke Brothers,0.523,602
Matthew Encina,0.52,74
Jordan Peterson Fan Channel,0.518,59
Anik Singal,0.509,1281
Mae Alice Suzuki,0.476,123
digitalOdd by Deepak Roy ,0.453,609
Ritika Yaduvanshi,0.435,827
Aishwarya NIT Rourkela,0.426,144
Channel H,0.424,303
Business Motiversity,0.416,363
David Zhang,0.407,137
Legends attitude,0.385,296
7 Figure Squad,0.368,2735
Rajiv Talreja,0.368,1028
Watch With Sam,0.337,226
Fintech Neeraj,0.324,174
London Business School,0.308,1391
Shulk,0.304,667
Men Quote,0.29,4590
Saheli Chatterjee,0.287,348
The Skinny Confidential,0.285,2658
Sleepy Charlie,0.28,87
Rise With Rahul,0.28,450
VP Motion,0.261,1514
Maxie Elise,0.261,361
Dr Sheen Gurrib,0.238,561
Byte Review,0.228,359
Nicole Wong,0.223,1305
Tan Man Dhan,0.218,438
Kalra Inc.,0.212,128
MaKING Creators,0.211,216
karthikmanjuram_talks,0.211,136
The Growth Paradox,0.207,237
Creator Speaks,0.202,92
PeakMotivation,0.198,493
Stanford Alumni,0.198,446
MoneyMoves,0.194,256
Matt Gray,0.19,938
Boosted Words,0.187,308
Leveling Up with Eric Siu,0.187,2054
Marley Jaxx,0.177,1145
Sonia Shenoy,0.17,128
FounderGyaan,0.168,682
Aduok Biztales,0.167,247
Feel Real Good,0.166,49
Nectar Point,0.165,145
ColdMindset_,0.162,73
Peter Georgiou,0.161,249
Brand Master Academy,0.159,688
Iman Gadzhi Inspiration,0.156,2220
Ben Alistor,0.153,2602
Pratham Shetty,0.141,162
Jason Kalambay,0.141,405
Money Making Community,0.14,169
Masculine Central,0.137,1799
Techyogesh Shorts,0.13,7
Sharon Tseung,0.125,586
PowerUp Money,0.125,380
Jeremiah Peoples,0.123,154
Indiamaan,0.122,355
Max Raghav,0.121,2501
The Chens,0.115,24
Grow with Bhushan,0.115,29
Devon Loerop,0.114,161
Emmeworks,0.112,153
Sudharsanan Ganapathy,0.105,342
Billionaire Shots,0.104,2894
Billionaire Success,0.104,488
10X ONLINE,0.102,136
The Disciplined,0.101,84
MadQuick Ecommerce,0.1,52
Think with Google,0.0993,755
Sagar Shandilya,0.099,291
 Inspired by Deep ,0.0945,127
Business | Entreprenenr | Finance ,0.0895,495
Dream UPSC,0.0889,631
Mark Darwin,0.0873,148
Motivation Ignited,0.086,43
Time to Invest,0.0854,163
UNSTOPPABLE,0.085,207
Dream Hustle Empire,0.0843,180
Awf The Record ,0.0751,204
Beyond With Landon,0.0729,26
David Heacock,0.0715,1211
Have You Met Thomas,0.0682,37
Sam's Wallet,0.065,75
Top Book Summary,0.0643,150
@smotivation1line,0.0636,257
J U M O K E   M I  |  Finance Nerd,0.0586,78
Caleb Ralston,0.0581,53
The Roadman Podcast,0.0551,615
Mindset Profits ,0.0517,302
Competishun+,0.0481,921
Syed Kashif Mohsin ,0.0466,528
Unleash Power,0.0411,21
Chantal Leonhardt,0.0401,98
Millionow,0.0386,466
Gretchen Rubin,0.037,933
iz_bill,0.0342,386
Vanesa Rodriguez,0.0338,137
Billionaire_New,0.0319,556
Tech Rajman Shorts,0.0301,444
Startup News Daily,0.0253,423
Cliff Cheqona,0.0198,350
Profitable Family,0.0181,91
Ryan Snaadt,0.0172,463
Self improvement | Money | Mindset ,0.0164,133
K A M A L    T E J A,0.0144,161
STARTUP DECODING,0.014,220
Cry & Conquer,0.0135,61
Tern Setups,0.0119,21
Teacher Development Webinars,0.0118,144
Glowuptipsforyou,0.0115,152
Iman Gadzhi Mindset,0.0107,632
